phase_id,system_name,phase_name,horizon_start,horizon_end,fade_in_start,fade_out_end
1,Parzinger & Trachsel (1989/2004),Ha_C,0,7,,
2,Parzinger & Trachsel (1989/2004),Ha_D1,7,16,,
3,Parzinger & Trachsel (1989/2004),Ha_D2,16,25,,
4,Parzinger & Trachsel (1989/2004),Ha_D3,25,34,,
5,Parzinger & Trachsel (1989/2004),Lt_A,34,52,,
6,Parzinger & Trachsel (1989/2004),Lt_B1,52,61,,
7,Parzinger & Trachsel (1989/2004),Lt_B2,61,75,,
8,Parzinger & Trachsel (1989/2004),Lt_C1,75,87,,
9,Schwantes (1909 cont.),Wessenstedt,0,16,,
10,Schwantes (1909 cont.),Jastorf_a,16,34,,
11,Schwantes (1909 cont.),Jastorf_b,34,52,,
12,Schwantes (1909 cont.),Jastorf_c,52,75,,
13,Schwantes (1909 cont.),Ripdorf_1,75,87,,
14,Schwantes (1909 cont.),Ripdorf_2,87,96,,
15,Schwantes (1909 cont.),Seedorf_1,96,107,87,
16,Schwantes (1909 cont.),Seedorf_2,107,114,,
17,Schwantes (1909 cont.),Seedorf_3,114,122,111,
18,Martens (1997),Per_VI,0,16,,
19,Martens (1997),IA,16,34,,
20,Martens (1997),IB,34,75,,
21,Martens (1997),IIA,75,96,,
22,Martens (1997),IIB,96,117,,
23,Hingst (1959),Ia,7,16,,
24,Hingst (1959),Ib,16,25,,
25,Hingst (1959),Ic,25,52,,
26,Hingst (1959),Id,52,75,,
27,Hingst (1959),IIa,75,87,,
28,Hingst (1959),IIb,87,107,,
29,Hingst (1959),IIc,107,114,,
30,Hingst (1959),IId,114,122,111,
31,Harck (1972 cont.),3,0,7,,
32,Harck (1972 cont.),Ia,7,16,,
33,Harck (1972 cont.),Ib,16,25,,
34,Harck (1972 cont.),Ic,25,52,,
35,Harck (1972 cont.),Id,52,75,,
36,Harck (1972 cont.),IIa,75,87,,
37,Harck (1972 cont.),IIb,87,100,,
38,Harck (1972 cont.),IIc,100,114,96,
39,Harck (1972 cont.),IId,114,122,111,
40,Harck (1972 cont.),äkI,122,131,,
41,Seyer (1982),Per_VI,0,25,,
42,Seyer (1982),Ia,25,34,,
43,Seyer (1982),Ib,34,75,,
44,Seyer (1982),IIa,75,87,,
45,Seyer (1982),IIb1,87,96,,
46,Seyer (1982),IIb2,96,107,,
47,Seyer (1982),transition,107,122,,126
48,Keiling (1969 cont.),VIa,0,7,,
49,Keiling (1969 cont.),Ia,7,16,,
50,Keiling (1969 cont.),Ib,16,25,,
51,Keiling (1969 cont.),Ic,25,57,,
52,Keiling (1969 cont.),IIa,57,96,,
53,Keiling (1969 cont.),IIb,96,107,,
54,Keiling (1969 cont.),IIc,107,122,,
55,Willroth (1992),Per_VI,0,16,,
56,Willroth (1992),Hor_1,16,25,,
57,Willroth (1992),Hor_2,25,34,,
58,Willroth (1992),Hor_3,34,57,,
59,Willroth (1992),Hor_4,57,75,,
60,Willroth (1992),Hor_5,75,87,,
61,Willroth (1992),Hor_6,87,96,,
62,Willroth (1992),Hor_7,96,107,,
63,Willroth (1992),Hor_8,107,114,,
64,Willroth (1992),Hor_9,114,122,,
65,Willroth (1992),Hor_10,122,126,118,
66,Simon (1993),Th_B,0,7,,
67,Simon (1993),Th_C1,7,16,,
68,Simon (1993),Th_C2,16,25,,
69,Simon (1993),Th_C3,25,34,,
70,Haffner & Joachim (1976/1982),HEK_IA1,7,16,,
71,Haffner & Joachim (1976/1982),HEK_IA2,16,25,,
72,Haffner & Joachim (1976/1982),HEK_IB,25,34,,
73,Haffner & Joachim (1976/1982),HEK_IIA1,34,43,,52
74,Haffner & Joachim (1976/1982),HEK_IIA2,43,52,34,
75,Haffner & Joachim (1976/1982),HEK_IIA3,52,61,,
76,Haffner & Joachim (1976/1982),HEK_IIB,61,75,,
77,Seyer (1976),e_transition,107,117,,
78,Seyer (1976),l_transition,117,121,,136
79,Eger (1999),1a,100,107,,
80,Eger (1999),1b/2,107,114,,
81,Eger (1999),2,114,122,,
82,Eger (1999),3,122,131,,
83,Laux (2003 cont.),I,107,114,,
84,Laux (2003 cont.),II,114,117,111,
85,Laux (2003 cont.),III,117,122,,
86,Laux (2003 cont.),IV,122,131,,
87,Völling (1994 cont.),Hor_I,99,114,96,
88,Völling (1994 cont.),Hor_II,114,122,107,
89,Völling (1994 cont.),Hor_III,122,127,117,
90,Völling (1994 cont.),Hor_IV,127,131,122,
91,Heynowski (2014),Hor_A,7,16,,
92,Heynowski (2014),Hor_B,16,25,,
93,Heynowski (2014),Hor_C,25,37,,
94,Döhlert-Albani (2014),Hor_A,87,96,,
95,Döhlert-Albani (2014),Hor_B,96,107,,
96,Döhlert-Albani (2014),Hor_C,107,114,,
97,Döhlert-Albani (2014),Hor_D,114,122,,
98,Döhlert-Albani (2014),Hor_E,122,131,,
99,Müller (1985),Phase_1,0,14,,
100,Müller (1985),Phase_2,14,36,,
101,Müller (1985),Phase_3,36,61,,
102,Müller (1985),LT_B2,61,75,,
103,Müller (1985),LT_C1,75,87,,
104,Müller (1985),LT_C2,87,96,,
105,Müller (1985),LT_D1,96,107,,
106,Müller (1985),LT_D2_early,107,114,,
107,Müller (1985),LT_D2_late,114,122,,
108,Reinecke (1986 cont.),Ia,25,34,,
109,Reinecke (1986 cont.),Ib,34,57,,
110,Reinecke (1986 cont.),IIa,57,96,,
111,Reinecke (1986 cont.),IIb,96,122,,
112,broad_horizon,LBA,0,16,,
113,broad_horizon,EPRIA,16,75,7,75
114,broad_horizon,LPRIA,75,122,,131
115,broad_horizon,ERIA,122,140,,
116,Eggers,B1,122,140,,
117,Eggers,B2,140,166,,
118,broadest_horizon,BA,-90,16,,
119,broadest_horizon,PRIA,16,122,,
120,broadest_horizon,RIA,122,228,,
121,broadest_horizon,indiff,,,,
122,broad_horizon,indiff,,,,
123,Rieckhoff,Ha_C,0,7,,
124,Rieckhoff,Ha_D1,7,16,,
125,Rieckhoff,Ha_D2,16,25,,
126,Rieckhoff,Ha_D3,25,34,,
127,Rieckhoff,LT_A,34,52,,
128,Rieckhoff,LT_B1,52,61,,
129,Rieckhoff,LT_B2,61,75,,
130,Rieckhoff,LT_C1,75,87,,
131,Rieckhoff,LT_C2,87,96,,
132,Rieckhoff,LT_D1a,96,101,,
133,Rieckhoff,LT_D1b,101,107,,
134,Rieckhoff,LT_D2a,107,113,,
135,Rieckhoff,LT_D2b,113,117,,
136,Jensen (2005),Per_VI,0,10,,
137,Jensen (2005),I.1,10,25,,
138,Jensen (2005),I.1a,10,17,,
139,Jensen (2005),I.1b,17,25,,
140,Jensen (2005),I.2,25,75,,
141,Jensen (2005),I.2a,25,50,,
142,Jensen (2005),I.2b,50,75,,
143,Jensen (2005),II.1,75,100,,
144,Jensen (2005),II.1a,75,87,,
145,Jensen (2005),II.1b,87,100,,
146,Jensen (2005),II.2,100,122,,
147,Jensen (2005),II.2a,100,111,,
148,Jensen (2005),II.2b,111,122,,
149,Becker (1961),Per_VI,0,10,,
150,Becker (1961),Ia,10,23,,
151,Becker (1961),Ib,23,72,,
152,Becker (1961),II,72,90,,
153,Becker (1961),IIIa,90,114,,
154,Becker (1961),IIIb,114,122,,
